cidade_usuario,estado_usuario,data_cadastro_usuario,data_nascimento_usuario,sexo_usuario,nome_item,descricao_item,quantidade,preco,data_pedido
São Vicente,SP,2024-09-12,1994-03-25,mulher,Máquina de Lavar Louça,Máquina de lavar louça com 12 programas,1,2200.00,2024-09-12
Taboão da Serra,SP,2024-10-12,1990-07-10,homem,Refrigerador,Refrigerador com 500L de capacidade e controle digital,1,2500.00,2024-10-12
São João de Meriti,RJ,2024-11-12,1991-06-20,mulher,Micro-ondas,Micro-ondas com grill e função de descongelamento,2,600.00,2024-11-12
Nova Iguaçu,RJ,2024-12-12,1988-02-15,homem,Ar Condicionado Split,Ar condicionado split com 12000 BTU,2,1200.00,2024-12-12
São Gonçalo,RJ,2023-12-20,1995-09-05,mulher,Forno Elétrico,Forno elétrico com capacidade de 30L,3,250.00,2023-12-20
Campos dos Goytacazes,RJ,2024-01-20,1992-04-12,homem,Cortador de Verduras,Cortador de verduras com lâminas intercambiáveis,2,140.00,2024-01-20
Petrópolis,RJ,2024-02-20,1993-10-05,mulher,Mixer,Mixer com 5 velocidades e função turbo,3,200.00,2024-02-20
Teresópolis,RJ,2024-03-20,1987-11-10,homem,Grill Elétrico,Grill elétrico com 6 placas removíveis,2,180.00,2024-03-20
Macaé,RJ,2024-04-20,1991-05-30,mulher,Secador de Cabelo,Secador de cabelo com 3 temperaturas e 2 velocidades,3,130.00,2024-04-20
Araruama,RJ,2024-05-20,1994-02-10,mulher,Batedeira,Batedeira com 7 velocidades e tigela de 5L,2,220.00,2024-05-20
Itaperuna,RJ,2024-06-20,1990-08-25,homem,Grill Panini,Grill panini com placas antiaderentes e ajuste de altura,3,150.00,2024-06-20
Volta Redonda,RJ,2024-07-20,1988-07-15,mulher,Purificador de Água,Purificador de água com sistema de osmose reversa,2,300.00,2024-07-20
Cabo Frio,RJ,2024-08-20,1992-09-05,homem,Ventilador de Teto,Ventilador de teto com controle remoto,4,180.00,2024-08-20
Volta Redonda,RJ,2024-09-20,1991-12-30,mulher,Máquina de Lavar,Máquina de lavar com 15 programas e 8kg de capacidade,2,1200.00,2024-09-20
Araruama,RJ,2024-10-20,1993-03-12,homem,Tostadeira,Tostadeira com 4 fatias e ajuste de temperatura,3,100.00,2024-10-20
